SEKTOR,ZONA,NOMOR_SHELTER,NAMA_SHELTER,TIPE_SHELTER,LATITUDE,LONGITUDE,KAPASITAS_JIWA,LUAS_HA,JUMLAH_JIWA,MODA,JALUR_EVAKUASI
SEKTOR C,Zona 94,167,SDN 18 Koto Tangah,PENDIDIKAN,-0.8217,100.3442,1355.0,34.0,1355.0,JALAN KAKI,Jln. Kelurahan Bungo Pasang ? Jln. Kelurahan Koto Panjang Ikuakoto ? TEA C1 Lahan
SEKTOR C,Zona 101,103,MESJID RAYA IKUR KOTO,MASJID/MUSHOLA,-0.831,100.345,1452.0,36.0,1452.0,JALAN KAKI,Jln. Kelurahan Bungo Pasang ? Jln. Kelurahan Koto Panjang Ikuakoto ? TEA C1 Lahan
SEKTOR D,Zona 63,73,HOTEL BASKO DAN PLAZA,HOTEL,-0.9015,100.3617,8763.0,93.7,8763.0,JALAN KAKI,Jln. Parkit ? Jln Simpang Labor ? Jln. Pro. Hamka ? Jln. Tunggul Hitam ? Jln. Kelurahan Dadok Tunggul Hitam ? Jln. By Pass ? TEA D2 TVRI
SEKTOR D,Zona 63,74,FAKULTAS SENI UNP,PENDIDIKAN,-0.9028,100.3653,,,,LANGSUNG MENUJU TEA,
SEKTOR D,Zona 63,75,MESJID AL Azhar UNP,PENDIDIKAN,-0.9032,100.3649,,,,LANGSUNG MENUJU TEA,
SEKTOR D,Zona 63,76,FAKULTAS ILMU PENDIDIKAN UNP,PENDIDIKAN,-0.9025,100.3658,,,,LANGSUNG MENUJU TEA,
SEKTOR D,Zona 63,78,FAKULTAS EKONOMI UNP,PENDIDIKAN,-0.895495,100.34958,,,,LANGSUNG MENUJU TEA,
SEKTOR D,Zona 68,77,PASCA SARJANA UNP,PENDIDIKAN,-0.9024,100.3646,8152.0,76.63,8152.0,JALAN KAKI,Jln. Cendrawasih ? Jln. Pro. Hamka ? Jln. Kelurahan Dadok Tunggul Hitam ? Jln. By Pass ? TEA D2 TVRI
SEKTOR D,Zona 68,80,MESJID BAITUSSALAM,MASJID/MUSHOLA,-0.893248,100.350633,,,,LANGSUNG MENUJU TEA,
SEKTOR D,Zona 70,79,STIKES SYEDZA,PENDIDIKAN,-0.894573,100.352916,6483.0,91.0,6483.0,JALAN KAKI,Jln. Pro. Hamka ? Jln. Tunggul Hitam ? Jln. Kelurahan Dadok Tunggul Hitam ? Jln. By Pass ? TEA D2 TVRI
SEKTOR D,Zona 70,81,SD SETIA,PENDIDIKAN,-0.890888,100.350883,,,,LANGSUNG MENUJU TEA,
SEKTOR D,Zona 70,163,SDN 26 & 28 Air Tawar Timur,PENDIDIKAN,-0.9175,100.3745,,,,LANGSUNG MENUJU TEA,
SEKTOR D,Zona 70,164,SDN 05 & 09 AIR TAWAR,PENDIDIKAN,-0.9195,100.3685,,,,LANGSUNG MENUJU TEA,
SEKTOR D,Zona 76,82,PT. WILMAR,LAINNYA,-0.875,100.356,4990.0,71.88,4990.0,JALAN KAKI,Jln. Jondul ? Jln. Pasir Parupuk ? Jln. Simpang Gia ? Jln. Masuk Bandara ? Jln. Angkasa Puri ? Jln. Kelurahan Dadok Tunggul Hitam ? Jln. By Pass ? TEA D2 TVRI
SEKTOR D,Zona 77,165,SDN 20 Tunggul Hitam,PENDIDIKAN,-0.8895,100.3505,6121.0,97.0,6121.0,JALAN KAKI,Jln. Angkasa Puri ? Jln. Kelurahan Dadok Tunggul Hitam ? Jln. By Pass ? TEA D2 TVRI
SEKTOR D,Zona 80,83,PT AMP,BANGUNAN KOMERSIAL,-0.8855,100.3485,3923.0,87.0,3923.0,JALAN KAKI,Jln. Prof. Hamka ? Jln. Pacuan Kuda ? Jln. Pagai Kelurahan Koto Panjang Ikua Koto ? Jln. By Pass ? TEA D2 TVRI
SEKTOR D,Zona 80,84,STTIND,PENDIDIKAN,-0.887,100.349,,,,LANGSUNG MENUJU TEA,
SEKTOR D,Zona 80,85,SMPN 13 PADANG,PENDIDIKAN,-0.963452,100.372059,,,,LANGSUNG MENUJU TEA,
SEKTOR E,Zona 47,46,MESJID ISTIQLAL,MASJID/MUSHOLA,-0.9428,100.3762,4226.0,53.73,4226.0,JALAN KAKI,Jln. Raden Saleh ? Jln. Kyai Ahmad Dahlan ? Jln. Gajah Mada ? Jln Ke PDAM ? TEA E1 Gunung Pangilun
SEKTOR E,Zona 47,160,SDN 26 RIMBO KALUANG,PENDIDIKAN,-0.9445,100.3742,,,,LANGSUNG MENUJU TEA,
SEKTOR E,Zona 48,42,DINAS PU PROP SUMATERA BARAT,GEDUNG PEMERINTAH,-0.9402,100.3632,10204.0,101.0,10204.0,JALAN KAKI,Jln. Kyai Ahmad Dahlan ? Jln. Gajah Mada ? Jln Ke PDAM ? TEA E1 Gunung Pangilun
SEKTOR E,Zona 48,43,HOTEL IBIS,HOTEL,-0.929663,100.362983,,,,LANGSUNG MENUJU TEA,
SEKTOR E,Zona 48,45,UNIVERSITAS TAMAN SISWA,PENDIDIKAN,-0.929495,100.365614,,,,LANGSUNG MENUJU TEA,
SEKTOR E,Zona 48,48,BAPPEDA PROV SUMBAR,GEDUNG PEMERINTAH,-0.941,100.3615,,,,LANGSUNG MENUJU TEA,
SEKTOR E,Zona 48,49,ERLANGGA,BANGUNAN KOMERSIAL,-0.9432,100.3652,,,,LANGSUNG MENUJU TEA,
SEKTOR E,Zona 48,50,MESJID RAYA SUMBAR,MASJID/MUSHOLA,-0.932141,100.380654,,,,LANGSUNG MENUJU TEA,
SEKTOR E,Zona 48,55,SMAN 3 PADANG,PENDIDIKAN,-0.91953,100.364204,,,,LANGSUNG MENUJU TEA,
SEKTOR E,Zona 49,52,SMKN 5 PADANG,PENDIDIKAN,-0.9462,100.3702,5935.0,57.84,5935.0,JALAN KAKI,Jln. S. Parman ? Jln. Nusa Indah ? Jln. Raden Saleh ? Jln. Kyai Ahmad Dahlan ? Jln. Gajah Mada ? Jln Ke PDAM ? TEA E1 Gunung Pangilun
SEKTOR E,Zona 49,53,SMPN 7 PADANG (<500),PENDIDIKAN,-0.9457,100.3692,,,,LANGSUNG MENUJU TEA,
SEKTOR E,Zona 51,51,STMIK INDONESIA,PENDIDIKAN,-0.9472,100.3722,5464.0,73.0,5464.0,JALAN KAKI,Jln. Perumahan Filano ? Jln Baledang ? TEA E1 Gunung Pangilun
SEKTOR E,Zona 51,54,SMK TEKNOLOGI,PENDIDIKAN,-0.9482,100.3732,,,,LANGSUNG MENUJU TEA,
